,section_title,raw_text
207,Leaving and returning to the UK under this concession,"34.29  Where a non-visa national is granted leave to enter under this concession, 
their leave will lapse (end) as soon as they leave the Common Travel Area. 
This means that they will not automatically be able to re-enter the UK on the 
basis of their original leave.  
 
34.30  We understand that the migrant may need to come back to the UK to fulfil their 
engagements. In these circumstances, the migrant must give an immigration 
officer their original CoS number again on arrival at the UK border. An 
immigration officer will ask the migrant to give evidence of meeting the 
Page 157 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
maintenance requirements again. They will carry out checks to make sure that 
you have not withdrawn your sponsorship since the migrant’s original entry. 
We may speak to you again to confirm the details on the CoS. If the migrant 
meets all the criteria, we will be able to grant leave to allow them to finish the 
engagements for their sponsor within the period of their original grant of leave. 
 
Related content 
Contents 
Page 158 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
35 Tier 5 (Temporary Worker) Charity 
Worker 
 
35.  Migrants coming to work temporarily in the UK as charity workers must only be 
doing voluntary fieldwork directly related to the purpose of your charity. You 
cannot offer paid employment under this category. ‘Voluntary fieldwork’ means 
activities which would not normally be offered at a waged or salaried rate and 
which contribute directly to the achievement or advancement of the sponsor’s 
charitable purpose. It does not include work ancillary to the sponsor’s 
charitable purpose including, for example, routine back office administrative 
roles, retail or other sales roles, fund-raising roles and roles involved in the 
maintenance of the sponsor’s offices and other assets. 
 
35.1  When you assign a certificate of sponsorship (CoS) under the Tier 5 
(Temporary Worker) Charity Worker category, you are guaranteeing that the 
migrant: 
 
•  intends to undertake voluntary fieldwork related to the purpose of your 
charity for up to 12 months 
•  will not be paid or receive other remuneration for their work (with the 
exception of reasonable expenses outlined in section 44 of the National 
Minimum Wage Act 1988 (as amended from time to time)  
•  will not be filling a permanent position - this includes temporarily 
undertaking a position which is permanently required 
•  will comply with the conditions (rules) of their permission to stay and, 
where granted leave under Tier 5, will leave the UK when it expires 
 
35.2  Migrants entering the UK under the Tier 5 (Temporary Worker) Charity Worker 
category will be given a maximum of 12 months’ permission to stay. Their 
dependants are allowed to work if they are with or joining them in the UK. 
 
Related content 
Contents 
Page 159 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
208,Tier 5 (Temporary Worker) Charity Worker,
209,Tier 5 (Temporary Worker) Religious Worker,
210,Tier 5 (Temporary Worker) Government Authorised Exchange,
211,Tier 5 (Temporary Worker) Seasonal Worker,
212,Tier 5 (Temporary Worker) International Agreement,
213,Employees of overseas governments and international organisations,
214,Contractual service suppliers and independent professionals under international,
215,Skills and experience,"39.14  Any migrant applying for leave as a contractual service supplier or 
independent professional must have a university degree or a technical 
qualification showing knowledge at the same level.  
 
The exceptions are where contractual service suppliers will provide one of the 
following: 
 
•  advertising and translation services - they must have relevant 
qualifications 
•  management consulting services, or services related to management 
consulting - they must have a degree (not a technical qualification) 
•  technical testing and analysis services - they must have a degree or 
technical qualification demonstrating technical knowledge 
•  chef de cuisine services - they must have an advanced technical 
•  fashion model services or entertainment services (other than audio visual 
services) – there is no requirement for any specific qualifications 
qualification 
 
39.15  They must also have relevant professional qualifications, where they are 
legally required in the UK to carry out the work they will do, and: 
 
•  3 years relevant experience in the sector if they are a contractual service 
supplier (unless supplying chef de cuisine services under the EU- 
Page 170 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
CARIFORUM agreement, in which case they must have 6 years’ 
experience as a chef de cuisine) 
•  6 years relevant experience in the sector concerned if they are an 
independent professional 
 
 
 
 
Sponsoring contractual service suppliers and independent 
professionals 
39.16  When you assign a CoS, you are guaranteeing that: 
•  the migrant is employed by a business or is self-employed on the territory 
of a country outside the UK that is party to an eligible trade agreement – 
see Appendix F of the guidance for sponsors for a list of eligible 
agreements 
•  will be engaged in work that is covered by the UK’s commitments under 
•  will comply with the conditions (rules) of their permission to stay and will 
one of those agreements 
leave the UK when it expires 
39.17  If you want to bring contractual service suppliers or independent professionals 
to the UK under a new contract, you must tell us about this and not assign any 
CoS in connection with this until we have agreed it meets the requirements set 
out in this guidance. You can use your SMS account ‘Request change of 
circumstances function’ to tell us about any new contract. Once reported, we 
will ask you for supporting evidence and you must send us any documents or 
information within the time limit set. 
 
39.18  We will revoke your sponsor licence if you assign a CoS in connection with a 
contract that: 
 
•  you have not told us about 
•  you have told us about, but we have not yet confirmed that you can assign 
a CoS for that contract 
•  we have told you does not meet the requirements set out in this guidance 
Important notes about assigning a certificate of 
sponsorship to a contractual service supplier or 
independent professional 
39.19  When assigning a certificate of sponsorship (CoS) you will come to a box that 
asks you to tell us how much the migrant will be paid. This is mandatory and 
you must enter a figure. We know that you will not be paying a salary to the 
migrant, so you can enter a nominal figure, for example, £0.01. 
 
39.20  You must also say in the ‘Summary of job description’ box that the CoS is for 
either a ‘contractual service supplier’ or an ‘independent professional’ by 
entering one of those phrases. If you forget before you assign the CoS, you 
can retrieve it from within your SMS account and add a ‘Sponsor note’ that 
says ‘Contractual service supplier’ or Independent professional’. Once 
assigned, you can add a ‘Sponsor note’ at any time before the migrant uses it 
Page 171 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
216,Sponsoring contractual service suppliers and independent professionals,
217,Important notes about assigning a certificate of sponsorship to a contractual,
218,General information,
219,Migrants’ initial permission to stay,"40.  Migrants applying under the Tier 2 and Tier 5 categories cannot apply for initial 
leave more than 3 months in advance of their employment start date, as stated 
on their certificate of sponsorship (CoS). You must make sure the timing of 
your recruitment and the date you assign the CoS does not put the migrant in 
a situation where they cannot make a successful application for leave to enter 
or remain in the UK. 
 
"
220,The cooling-off period,"40.1 
If a migrant has been sponsored in any Tier 2 category, or in the Religious 
Workers subcategory or Charity Workers subcategory of Tier 5 (Temporary 
Worker), and their leave has ended or expired, they must wait 12 months 
before applying again in the relevant category. We call this the ‘cooling-off 
period’. 
 
40.2  The cooling-off period applies where: 
•  the migrant has, in the 12 months immediately preceding the current 
application, had entry clearance or leave to remain in a category referred 
to in paragraph 40.1 (‘relevant category’), and that leave has since expired 
•  in the case of a Tier 2 migrant, the CoS which led to that grant of leave 
was issued for more than 3 months, and 
•  the migrant is either: 
o  applying for entry clearance from outside the UK, or 
o  in the UK and had a previous period of Tier 2 leave, but then changed 
(‘switched’) into a different immigration category and now wishes to 
apply again under Tier 2 
40.3  While the cooling-off period applies: 
•  a migrant who was previously sponsored in any Tier 2 category cannot be 
granted any further entry clearance in any Tier 2 category, or apply to 
switch into Tier 2 (General), Tier 2 (Minister of Religion), or Tier 2 
(Sportsperson) 
•  a migrant who was previously sponsored in either the Charity Workers 
subcategory or Religious Workers subcategory of Tier 5 (Temporary 
Worker) cannot be granted any further entry clearance in either of those 
subcategories 
 
40.4 
If you want to sponsor a migrant under any category of Tier 2, or in the Charity 
Worker or Religious Worker subcategory of Tier 5, they should be able to tell 
you if they have had a period of leave in one of those categories, so that you 
can check if they are allowed to make a further application. 
 
40.5  The cooling-off period starts the day after the migrant’s last leave in the 
relevant category has ended or expired. 
Page 173 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
 
 
40.6 
 
If the migrant’s previous grant of leave was curtailed for any reason, the 
cooling-off period starts from the day after their curtailed period of leave 
expired. 
 
40.7  Where the migrant left the UK before their last period of leave in a relevant 
category expired, the cooling-off period can start earlier than the date their 
leave expired, but only if they can give us evidence of them having not been in 
the UK with leave in a relevant category for a period before that date.  
 
Evidence may include, but is not limited to: 
 
•  travel tickets or boarding card stubs, but only if you, or the migrant’s last 
sponsor also sent an SMS report at the time, confirming their employment 
in the UK had ended 
•  exit or entry stamps in the migrant’s passport confirming they were not in 
the UK 
•  a letter from the migrant’s overseas employer confirming the date they 
started work overseas, after returning from the UK 
•  other evidence that shows the migrant was not in the UK 
 
Where evidence is produced and accepted, we work out the cooling-off period 
to start from the earliest date supported by evidence. 
 
"
221,Additional exceptions under Tier 2,"40.8  The Tier 2 cooling-off period does not apply where the migrant: 
 
•  is in the UK and applying for an extension to their existing leave  
•  is in the UK and is making a change of employment application 
•  is applying as a high earner – someone whose gross salary package 
accepted for a Tier 2 (General) application is £159,600 or higher, or 
£120,000 or higher for a Tier 2 (ICT) application 
•  is applying under the Tier 2 (ICT) Long-term Staff subcategory and their 
last grant of Tier 2 leave was in one of the following intra-company 
transfer categories: 
o  Skills Transfer 
o  Graduate Trainee 
o  Short-term Staff 
•  was only in the UK as a Tier 2 migrant during the last 12 months for a short 
period(s) with a CoS which was assigned for 3 months or less. This could 
be where a migrant:  
o  was assigned a CoS of 3 months or less in the preceding 12-month 
period, and had no other Tier 2 leave during that period, the cooling-
off period will not apply 
o  has had more than one period of Tier 2 leave in the last 12 months 
and each CoS was assigned for less than 3 months, even where they 
may total over 3 months, the cooling-off period will not apply 
Note: it is the intention that this waiver permits only short-term 
periods of leave in the UK. If you intend to sponsor a migrant in the 
Page 174 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
UK for longer than 3 months, you should assign the CoS under the 
appropriate subcategory 
o  was assigned a CoS of 6 months in length but you notified us that they 
finished working for you in the UK after 2 months, the cooling-off 
period will apply (as the CoS was assigned for more than 3 months) 
"
222,Maintenance (available funds),"40.9  Migrants in all tiers must show that they have enough money to support 
themselves and any dependants when they enter the UK, until they start to 
receive an income. The ‘Guidance for dependants of UK visa applicants (Tiers 
1, 2, 4, 5) on GOV.UK has more information on this. 
 
40.10  To qualify for entry clearance, or leave to remain in the UK under the Tier 2 or 
Tier 5 categories, the migrant must meet the maintenance requirements set 
out in the Tier 2 and Tier 5 guidance for migrants and Appendix C to the 
Immigration Rules.  
 
40.11  If your licence is rated A, A (Premium) or A (SME+), you can certify 
maintenance for any migrant sponsored under the Tier 2 or Tier 5 categories. 
You can also certify maintenance for dependants of any Tier 2 or Tier 5 
migrants. 
 
40.12  If you want to certify maintenance for a migrant and their dependants under 
the Tier 2 or Tier 5 categories, you should ‘tick’ the box on their CoS. If you do 
not wish to certify maintenance for dependants you must add a ‘Sponsor note’ 
on the CoS, saying this. 
 
If you certify maintenance under the Tier 2 or Tier 5 categories you confirm 
that you will, if needed, maintain and accommodate the migrant up to the end 
of their first month of employment in the UK. You may limit the amount of the 
undertaking, but any limit must be at least £945. If you certify maintenance for 
a Tier 2 or Tier 5 migrant’s dependants, you confirm that you will maintain and 
accommodate them for the first month of any leave that is granted to them. 
You may limit this, but it must be at least £630 per dependant. 
 
40.13  If you certify maintenance, you must make sure the migrants are aware that 
they must not claim state benefits. If they do claim state benefits with your 
knowledge, we will take action against you. 
 
40.14  If you do not wish to certify maintenance at all, the migrant and their 
dependants must all meet the maintenance requirements as set out in the 
relevant guidance and the Immigration Rules and give us the required 
evidence with their application for leave. 
 
"
223,Switching while in the UK,"40.15  Switching is the term we use when a migrant who is already legally in the UK 
moves from one immigration status to another. We only approve an 
application for a migrant to switch immigration category while in the UK if they: 
 
Page 175 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
•  meet the requirements of the Immigration Rules to be allowed to stay in 
the UK within the category that are applying to switch into 
•  are already in the UK within one category that allows them to switch into 
the category they are applying to switch into 
40.16  If you want to sponsor a migrant under the Tier 2 or Tier 5 categories who is 
already in the UK under another immigration category, you should check that 
their current immigration status allows them to switch into the Tier 2 or Tier 5 
category. This is important if the migrant is in the UK as the dependant of 
another migrant. This is because any dependant switching into Tier 2 
(General) counts towards the annual limit under Tier 2 (General) which means 
they will need a restricted CoS. The Tier 2 (General) annual limit section has 
more information on this. 
 
40.17  Further guidance on switching rules is available in the work visa guidance and 
Part 6A of the Immigration Rules on GOV.UK. 
 
"
224,Extension of permission to stay,"40.18  A migrant with leave under the Tier 2 or Tier 5 categories can apply for an 
extension of their permission to stay, which is known as further leave to 
remain. 
 
40.19  Where the migrant is already working for you and wishes to extend their period 
of leave, for example, if their contract is extended, you must assign a new CoS 
for the extended period. Under the Tier 2 and Tier 5 categories, the 
requirements for extension applications are that: 
 
•  the migrant has been assigned a CoS for their continued employment in 
the same role before making an application for an extension of stay 
•  if the migrant’s original CoS was assigned before 6 April 2013, and the job 
they have been doing is not contained in one of the SOC 2010 codes 
listed in Table 7 of Appendix J to the Immigration Rules, you can assign a 
CoS under the most appropriate SOC 2010 code but only if it is clear that 
the job the migrant is doing did fit in the SOC stated on their original CoS 
and does not fit in one of the transition SOCs or 
•  the migrant has been assigned a CoS for their continued employment in 
another role within the same SOC code that was on their original CoS 
before making an application for an extension of stay and 
•  the job is still at the appropriate skill level (see transitional arrangements 
for SOC codes – skill level for transitional arrangements in respect of 
changes to the SOC codes from 6 April 2013 that may have led to the skill 
level of a particular job being assessed as lower than before) 
•  the migrant will continue to be paid at or above the appropriate rate, the 
‘Rates of pay’ section has more information on when the ‘experienced’ 
rate must be paid to a Tier 2 migrant 
•  in the case of a private servant sponsored under Tier 5 (Temporary 
Worker) International Agreement, that they will continue to work for the 
employer named on their original CoS 
 
Page 176 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
40.20  If you originally carried out a resident labour market test before you started 
sponsoring the migrant, you do not have to do another one. 
 
40.21  We only extend a migrant’s permission to stay up to the maximum time 
allowed under the relevant tier and/or subcategory. 
 
40.22  When you assign a CoS to extend a migrant’s leave in the same tier and 
category, the start date on the CoS should be the day after their current leave 
expires but the migrant cannot apply for leave more than 3 months before that 
date. 
"
225,Change of employment,"40.23  If a migrant sponsored under the Tier 2 or Tier 5 categories changes 
employer, where the conditions (rules) of leave allow this, they must make a 
new application supported by a CoS from their new sponsor. The exception is 
if they are moving to a new sponsor with the Transfer of Undertakings 
(Protection of Employment) Regulations 2006 (TUPE) arrangements or similar 
protection to continue in the same job, due to a takeover, merger or de-merger 
or other circumstance in which TUPE is triggered. 
 
40.24  Where either: 
 
•  you are already sponsoring a migrant who wants to continue working for 
you in a new job within the same SOC code quoted on their CoS or 
•  a migrant is transferring to you with TUPE or similar protection and as part 
of the transfer they move into a new job within the same SOC code that 
was on the CoS assigned to them by their last sponsor 
 
they do not have to make a new application unless they are changing from a 
job which is in a short occupation listed in Appendix K to the Immigration 
Rules, to one that is not. In all cases, the rate of pay for their new job must 
meet the appropriate rate requirements set out in this guidance. 
 
40.25  If a sponsored migrant is changing occupations and will still be employed by 
you but their new job is in a different SOC code, they must make a new 
application. The same applies where a migrant is affected by TUPE or similar 
protection and, as part of their transfer, they change occupation and the new 
job is in a different SOC code. 
 
40.26  The exception is where the migrant is sponsored in a graduate training 
programme. They may change occupation within the programme or at the end 
of the programme without you needing to carry out a further resident labour 
market test or for them to make a new application. You must tell us of the 
change of occupation via the SMS. 
 
40.27  Where a sponsored migrant must make a ‘Change of employment’ application, 
you must first carry out a resident labour market test, if this guidance requires 
it, before you assign a new CoS to them. This could be if a migrant you are 
already sponsoring under Tier 2 (General) wants to continue working for you 
but in a different occupation which is in a different SOC code to the one you 
Page 177 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
quoted on their original CoS. You cannot simply give them the job and assign 
a new CoS to them straight away unless there is an exemption from the 
resident labour market test. 
 
40.28  If the new job is not exempt from the resident labour market test, you must 
carry one out and must only appoint that same migrant if no suitable settled 
workers are available to fill the post. If you fail to carry out a resident labour 
market test in accordance with this guidance, we will take action against you. 
 
40.29  If you assign a CoS to a migrant to change employment, they must then make 
a new application. Their application must be approved before they can start 
work in their new job. 
 
This applies in all cases whether the new job is with the same sponsor or a 
new sponsor. The migrant can continue working in their original job, for their 
original sponsor, provided their last grant of leave has not expired, until the 
start date of the new job, as stated on their new CoS. 
 
40.30  If you sponsor a migrant under Tier 2 who is already in the UK under Tier 2 
having been sponsored by someone else, you need to know about the rules 
that limit a migrant to a maximum of 6 continuous years’ leave in the UK under 
Tier 2. These rules are explained in the guidance for Tier 2 migrants and in 
Part 6A of the Immigration Rules. 
 
Transitional arrangements for changes of job within the 
same standard occupation classification code 
40.31  If you sponsor a migrant whose original certificate of sponsorship (CoS) was 
assigned before 6 April 2013 using a SOC 2000 code and you want to move 
them to a new job that used to be in the same SOC code as the one on their 
CoS, they will not have to make a change of employment application if the 
new job falls within one of the equivalent SOC 2010 codes. You can check this 
by looking at Table 7 in Appendix J to the Immigration Rules, which lists the 
transition from SOC 2000 to SOC 2010 codes. For example, if the migrant’s 
original job fell within SOC 1123 – Managers in Mining and Energy, and their 
new job falls within either: 
•  SOC 1123 – Production managers and directors in mining and energy  
•  SOC 2424 – Business and financial project management professionals  
 
they will not have to make a change of employment application. 
 
Leaving and returning to the UK 
40.32  If a Tier 2 or Tier 5 migrant needs to travel in and out of the UK on a regular 
basis in connection with their job, you can choose to tick the ‘Multiple entry’ 
box when assigning their CoS. If you do this, it does not involve any extra 
benefits or restrictions on the migrant’s ability to travel but does help to show 
their intentions and likely travel plans to us. ‘Multiple entry CoS’ holders must, 
like other applicants, obtain prior entry clearance unless seeking entry for no 
more than 3 months as a non-visa national under the Tier 5 Creative and 
Page 178 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
226,Transitional arrangements for changes of job within the same standard occupation,
227,Leaving and returning to the UK,"40.32  If a Tier 2 or Tier 5 migrant needs to travel in and out of the UK on a regular 
basis in connection with their job, you can choose to tick the ‘Multiple entry’ 
box when assigning their CoS. If you do this, it does not involve any extra 
benefits or restrictions on the migrant’s ability to travel but does help to show 
their intentions and likely travel plans to us. ‘Multiple entry CoS’ holders must, 
like other applicants, obtain prior entry clearance unless seeking entry for no 
more than 3 months as a non-visa national under the Tier 5 Creative and 
Page 178 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
Sporting visa concession. 
 
40.33  A multiple-entry CoS is not needed by a migrant wanting to travel overseas for 
leisure or domestic purposes during the period you sponsor them. If they take 
annual leave and return home during that period, they can still return to the UK 
to resume work if their leave is still valid.  
 
40.34  If a migrant has been assigned a multiple entry CoS, this does not override the 
rules on periods of unpaid leave. See the ‘Unpaid leave and reductions in 
salary’ section for more information on this. 
 
40.35  If a Tier 2 or Tier 5 migrant has been granted leave to remain in the UK for 6 
months or less, or they are a Tier 5 migrant who was granted leave to enter 
under the Tier 5 Creative and Sporting visa concession, their leave will end 
(lapse) if they leave the Common Travel Area (CTA). The CTA is the UK, 
Ireland, the Isle of Man and the Channel Islands (Bailiwick of Guernsey and 
Bailiwick of Jersey).  
 
40.36  If a Tier 2 or Tier 5 migrant’s leave lapses as a result of leaving the CTA, or 
otherwise expires while they are outside the UK, they will not be able to re-
enter the UK unless they make a further successful application for entry 
clearance, which must be supported by a new CoS. The migrant may also be 
affected by the cooling-off period. The exception to this is where they are a 
non-visa national who entered the UK under the Tier 5 Creative and Sporting 
visa concession and they are returning under that concession to complete the 
engagements stated on their original CoS. 
 
"
228,The biometric residence permit,"40.37  Migrants applying for entry clearance to the UK for more than 6 months must 
apply for a biometric residence permit (BRP) as part of the application 
process. This involves enrolling their fingerprints and facial image to have their 
identity confirmed. If a successful decision is made on their application for 
entry clearance, a decision letter will tell the migrant from which nominated 
Post Office in the UK they must collect their BRP. They will be provided with a 
short-term biometric entry clearance (a vignette in their passport), valid for 30 
days, in order to travel to the UK to collect their BRP. The migrant then has 10 
days from their arrival in the UK to collect their BRP from that nominated Post 
Office. The BRP will be the sole way of evidencing that the migrant is here 
lawfully and any conditions (rules) of their leave. The ‘Biometric residence 
permits’ page on GOV.UK has more information. 
 
40.38  Tier 2 and Tier 5 migrants applying for leave to remain in the UK have to apply 
for a BRP. Before receiving the BRP, the migrant must give their fingerprints 
and facial image, have their identity confirmed and a successful decision made 
on their application for leave.  
 
40.39  The vast majority of Tier 2 or Tier 5 migrants will use their BRP to evidence 
their right to work in the UK. If they need to start work before collecting their 
BRP, however, they will be able to evidence their right to work by producing 
the short-term biometric entry clearance in their passport which they used to 
Page 179 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
travel to the UK, as long as it is still current. In these circumstances, you will 
need to ask to see their BRP when this vignette expires (30 days after issue). 
The ‘Right to work checks: an employer’s guide’ page on GOV.UK has 
information on how to establish an excuse against a civil penalty liability for 
employing an illegal worker. 
 
40.40  Those coming to live in the UK for more than 6 months will be required under 
the BRP regulations to collect their BRP within 10 days of arrival. 
 
"
229,Migrants working on a contract basis,"40.41  Where a migrant is working on a contract basis and is being supplied to one 
organisation by another organisation, their sponsor must be whoever has full 
responsibility for all the duties, functions and outcomes or outputs of the job 
the migrant is doing. Below is an example of this. 
 
Example 
Company A has a contractual obligation with a client ‘Company Z’ to deliver an 
IT solution within an agreed period of time.  
 
A migrant who is sponsored by Company A to do a job on the IT project may 
be sent to work for the length of the contract at Company Z’s premises, but 
they remain employed by Company A throughout the whole period of the 
contract. 
 
As Company A is fully responsible for all the migrant’s duties, functions, 
outputs or outcomes, Company A must be the migrant’s sponsor. 
 
40.42  You can only assign a CoS if you have genuine responsibility for deciding all 
the duties, functions and outcomes or outputs of the job the migrant will be 
doing. Where the migrant is employed by you to do work for another 
organisation to fulfil a contractual obligation on your behalf, they must be 
contracted by you to provide a service or project within a certain period of 
time. This means a service or project which has a specific end date, after 
which it will have ended or the service provided will no longer be operated by 
you or anyone else. They must not be: 
 
•  agency workers, hired to another organisation to fill a position with them, 
whether temporary or permanent, regardless of any genuine contract 
between you and any employment agency or third party (intermediary) 
who supplies workers to an organisation – the ‘Employment agencies and 
employment businesses’ section has more information  
•  contracted to undertake an ongoing routine role or to provide an ongoing 
routine service for the third party (intermediary), regardless of the length of 
any genuine contract between you and another organisation 
 
40.43  If the migrant is self-employed, there must be a genuine contract for 
employment/services between you and the migrant. This contract must show: 
 
•  the names and signatures of all involved (normally, you and the migrant) 
•  the start and end dates of the contract 
Page 180 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
•  details of the job, or piece of work the migrant has been contracted to do 
•  an indication of how much the migrant will be paid 
 
40.44  Where we think that you are supplying a migrant to another organisation as 
labour, we may ask for confirmation from the other organisation, that: 
 
•  the migrant works independently from them, and you, as the sponsor, 
have full control over all their duties, functions, outputs or outcomes 
•  the migrant is not being supplied to them to undertake a routine role 
If we find this has happened, we will take action against you. 
 
"
230,Supplementary employment,"40.45  Migrants sponsored under the Tier 2 and Tier 5 categories are allowed, in 
limited circumstances, to undertake other work as well as that which their CoS 
was assigned for. We call this supplementary employment. The exception is 
for private servants sponsored under the Tier 5 (Temporary Worker) 
International Agreement subcategory who are not allowed to take 
supplementary employment. 
 
40.46  Supplementary employment does not have to meet the resident labour market 
test requirements and the employer does not have to be a licensed sponsor.  
 
 
•  be in the same profession and at the same professional level as the work 
for which the migrant’s CoS was assigned or be a job which is in a 
shortage occupation listed in Appendix K to the Immigration Rules - if the 
occupation is later removed from the list of shortage occupations, the 
migrant must finish that employment 
•  be for no more than 20 hours a week 
•  be outside of the normal working hours for which the migrant’s CoS was 
assigned 
 
Migrants do not need to advise us of any supplementary employment they 
undertake as long as it meets these criteria. 
 
40.47  A migrant should advise their new employer that the employment is 
supplementary to the work they are being sponsored to do, so that their 
supplementary employer can make the necessary checks described in our 
guidance for employers on illegal working. The ‘Right to work checks: an 
employer's guide’ page on GOV.UK has more information. 
 
"
231,Secondary employment,"40.48  Once a migrant sponsored under Tier 2 has used their CoS to gain leave to 
enter or remain in the UK and has started work, they are allowed to apply to 
take other employment which does not meet the supplementary employment 
criteria. We call this secondary employment. 
 
Page 181 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
40.49  Any secondary employment must be with a licensed sponsor and the migrant 
must be able to meet the criteria relevant to the category in which their 
secondary employment falls. The secondary employer must have recruited 
them in line with the rules set out in this guidance. The secondary employer 
must assign a new CoS to the migrant so that they can make an application to 
vary their existing leave or worker authorisation.  
 
Note: a second CoS cannot be assigned to a migrant until the migrant has 
used their first one. 
 
"
232,Educational courses,"40.50  Migrants sponsored under Tier 2 and Tier 5 may do courses of study. There is 
no limit on the number of hours they can study or level of course they 
undertake. However, we would expect that any study done does not affect 
their ability to carry out the job they have been employed to do. If they intend 
to study a discipline listed in Appendix 6 to the Immigration Rules and are 18 
years of age or over, they must obtain an Academic Technology Approval 
Scheme (ATAS) clearance certificate in respect of this course from the 
Counter-Proliferation Department of the Foreign and Commonwealth Office 
prior to commencing their study. Study may be undertaken anywhere the 
migrant chooses and does not have to be with a licensed Tier 4 sponsor. 
 
What happens if a migrant applies for settlement (also 
called indefinite leave to remain)? 
40.51  The maximum time that a Tier 2 migrant may be in the UK under the Tier 2 
(General), Tier 2 (Minister of Religion) or Tier 2 (Sportsperson) categories is 6 
years. After 5 years, the migrant may apply for settlement (also called 
‘indefinite leave to remain’ (ILR)) in the UK.  
 
40.52  If a Tier 2 migrant applies for ILR as a Tier 2 migrant, you will need to support 
this application with evidence. This is currently a letter confirming the: 
 
•  migrant is still wanted for the same job, and will be needed for the 
foreseeable future 
•  absences of the person from the UK, the periods and purposes of work-
related absences and their periods of annual leave 
•  amount of the migrant’s salary and that this is their regular salary – you 
will also need to confirm that the salary is not expected to reduce once 
they have been granted ILR, and that the salary is at or above the 
appropriate rate 
 
We may check this during a compliance visit. 
 
Page 182 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
233,What happens if a migrant applies for settlement (also called indefinite leave to,
234,Annex 1: circumstances in which we will refuse your application,
235,Annex 2: circumstances in which we may refuse your application,
236,Annex 3: circumstances in which we will downgrade your licence to B-rating,
237,Annex 4: circumstances in which we may downgrade your licence to a B-rating,
238,Annex 5: circumstances in which we will revoke your licence,
239,Annex 6: circumstances in which we may revoke your licence,
240,Annex 7: list of unspent convictions we will take into account,
241,Annex 8: further help on mergers and takeovers,
242,Annex 9: new points-based immigration system from January 2021,
243,Background,"On 19 February 2020, the Government published a policy statement setting out the 
high-level details of the UK’s points-based immigration system. These new 
arrangements will start operating from 1 January 2021, once freedom of movement 
with the European Union (EU) has ended. It will provide for a single system for EU 
and non-EU citizens alike and aims to attract people who can contribute to the UK’s 
economy. Irish citizens will continue to be able to enter and live in the UK as they do 
now. 
 
The new points-based system will include a route for skilled workers who have a job 
offer from an approved employer (‘sponsor’). This will replace the existing Tier 2 
(General) route. From 1 January 2021, the job will need to be at a required skill level 
of level 3 or above on the Regulated Qualifications Framework (RQF), or the 
equivalent level in Wales or Scotland. This is approximately equivalent to A-level 
standard. The migrant will need to be able to speak English. The minimum general 
salary threshold will be reduced from £30,000 to £25,600 (with lower salaries in 
certain circumstances, such as new entrants to the labour market). An individual 
migrant may be able to ‘trade’ certain characteristics against the salary that they 
would otherwise be required to earn for the occupation in question. Further 
information on how the new points-based system will work are in the policy 
statement. 
 
"
244,If you are not currently a licensed sponsor,"If you are not currently approved to be a sponsor but think that you are likely to need 
to sponsor skilled migrant workers from 1 January 2021, you can apply for approval 
(a ‘sponsor licence’) now. You will need to show that you will be able to offer genuine 
employment skilled to level RQF3 or above. Details of which jobs are currently 
considered to be RQF3 or above are contained in Appendix J to the Immigration 
Rules. You should note that this list is subject to change and jobs that are currently 
considered to be RQF3 may not be when the new system goes live. Further 
information on this will be provided later in the year.  
 
You must meet all of the requirements set out in this guidance, except the current 
requirement to offer employment at RQF6 or above. You are strongly advised to read 
all parts of the sponsor guidance for employers, including relevant appendices, 
before you apply. These are available on the ‘Sponsorship policy guidance’ page on 
GOV.UK. 
 
Page 207 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
"
